Mon Dec 13 09:50:57 2021 +0100,e509243,Add sbb-cloud-net proxy exception
Tue Nov 23 09:29:28 2021 +0100,e509243,Fix API Route
Mon Nov 22 14:09:21 2021 +0100,e509243,??
Mon Nov 22 14:01:21 2021 +0100,e509243,Route configured
Mon Nov 22 13:36:46 2021 +0100,e509243,Undo port change
Mon Nov 22 13:25:39 2021 +0100,e509243,Fix Proxy
Mon Nov 22 13:18:07 2021 +0100,e509243,Deploy to lisa
Mon Nov 22 13:11:43 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-flow-carlocapi.git into develop
Mon Nov 22 13:11:23 2021 +0100,e509243,ROSYF-135, ROSYF-146 Move to Lisa, user APIM 4.0
Wed Apr 7 13:31:14 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.3.0-SNAPSHOT
Wed Apr 7 13:30:42 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.2.3
Wed Apr 7 13:23:17 2021 +0200,e509243,Add 'OR ' test
Tue Mar 30 14:48:45 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.3.0-SNAPSHOT
Tue Mar 30 14:48:15 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.2.2
Tue Mar 30 14:44:37 2021 +0200,e509243,Fix syntax
Tue Mar 30 13:42:21 2021 +0200,e509243,ROSYF-17 Move int and prod to asterix.
Wed Mar 17 11:02:47 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.3.0-SNAPSHOT
Wed Mar 17 11:02:07 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.2.1
Wed Mar 17 10:58:12 2021 +0100,e509243,Use data prom API productively.
Thu Mar 4 11:30:46 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.3.0-SNAPSHOT
Thu Mar 4 11:30:26 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.2.0
Thu Mar 4 11:24:16 2021 +0100,e509243,Pull request #6,Add environment variable to openshift
Thu Mar 4 11:23:52 2021 +0100,e509243,Add environment variable to openshift
Thu Mar 4 11:10:58 2021 +0100,e509243,Pull request #5,No filtering in tests
Thu Mar 4 11:10:36 2021 +0100,e509243,No filtering in tests
Thu Mar 4 11:04:37 2021 +0100,e509243,Pull request #4,Disable filter for testing
Thu Mar 4 11:04:14 2021 +0100,e509243,Disable filter for testing
Thu Mar 4 10:59:31 2021 +0100,e509243,Pull request #3,Match correct url to activate the apim filter.
Thu Mar 4 10:59:02 2021 +0100,e509243,Match correct url to activate the apim filter.
Thu Mar 4 10:27:51 2021 +0100,e509243,Pull request #2,Fix failing test.
Thu Mar 4 10:27:27 2021 +0100,e509243,Fix failing test.
Thu Mar 4 10:16:11 2021 +0100,e509243,Pull request #1,Set correlationId
Thu Mar 4 10:15:29 2021 +0100,e509243,Set correlationId
Tue Mar 2 11:28:07 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.2.0-SNAPSHOT
Tue Mar 2 11:27:47 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.1.1
Tue Mar 2 11:18:40 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-flow-carlocapi.git into develop
Tue Mar 2 11:18:20 2021 +0100,e509243,Don't process Carloc data for now.
Mon Mar 1 13:45:07 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.2.0-SNAPSHOT
Mon Mar 1 13:44:22 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.1.0
Mon Mar 1 13:31:50 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-flow-carlocapi.git into develop
Mon Mar 1 13:31:24 2021 +0100,e509243,Use long for sequenceId
Fri Jan 15 15:09:57 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Fri Jan 15 15:09:25 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.2
Fri Jan 15 14:59:21 2021 +0100,e509243,Configured prod API
Wed Jan 6 08:16:43 2021 +0100,e509243,Splunk migration