Sun Oct 3 23:56:54 2021 +0200,u230616,Pull request #42,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Sun Oct 3 23:50:47 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Sun Oct 3 23:46:02 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Sun Oct 3 23:42:35 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Jun 29 15:27:34 2021 +0200,u230616,Pull request #40,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Jun 29 15:25:21 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Fri Jun 4 08:21:11 2021 +0200,automerge,Merge pull request #38 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Fri Jun 4 08:19:32 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu May 27 11:19:05 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue May 18 11:40:06 2021 +0200,u230616,Pull request #36,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue May 18 11:33:44 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon May 10 15:23:07 2021 +0200,automerge,Merge pull request #33 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Mon May 10 15:20:39 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu May 6 10:57:23 2021 +0200,automerge,Merge pull request #31 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu May 6 10:52:56 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Apr 29 08:51:31 2021 +0200,automerge,Merge pull request #29 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu Apr 29 08:43:42 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Wed Apr 28 09:07:36 2021 +0200,automerge,Merge pull request #27 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Wed Apr 28 09:01:32 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Apr 27 09:50:43 2021 +0200,automerge,Merge pull request #24 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Apr 27 07:57:23 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Apr 19 10:40:44 2021 +0200,automerge,Merge pull request #22 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Mon Apr 19 10:38:11 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Mar 23 09:49:20 2021 +0100,automerge,Merge pull request #20 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Mar 23 09:43:15 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 22 14:05:50 2021 +0100,automerge,Merge pull request #19 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Mon Mar 22 13:48:01 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Mar 9 15:11:59 2021 +0100,automerge,Merge pull request #17 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Mar 9 14:47:17 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 8 16:11:50 2021 +0100,automerge,Merge pull request #15 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Mon Mar 8 16:08:14 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Mar 4 11:26:25 2021 +0100,automerge,Merge pull request #13 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu Mar 4 11:21:17 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Mar 4 11:19:06 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 1 15:54:53 2021 +0100,automerge,Merge pull request #11 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Mon Mar 1 15:50:11 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 1 08:35:00 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 1 08:18:52 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Feb 9 15:51:49 2021 +0100,automerge,Merge pull request #8 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Feb 9 14:06:38 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Fri Jan 29 13:53:40 2021 +0100,u230616,Merge branch 'master' of https://code.sbb.ch/scm/pz_sopre/sopip-fpprod-import into feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Fri Jan 29 13:12:29 2021 +0100,automerge,Merge pull request #6 in PZ_SOPRE/sopip-fpprod-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Fri Jan 29 11:46:36 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Fri Jan 29 11:24:12 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration